File number + channel,Burst start A,Burst end A,Burst start B,Burst end B,Burst start C,Burst end C,Burst start D,Burst end D,Burst start E,Burst end E,Burst start F,Burst end F,Burst start G,Burst end G,Burst start H,Burst end H,Burst start I,Burst end I,Burst start J,Burst end J,Burst start K,Burst end K,Burst start L,Burst end L,Burst start M,Burst end M,Burst start N,Burst end N,Burst start O,Burst end O,Burst start P,Burst end P,Burst start Q,Burst end Q,Burst start R,Burst end R,Burst start S,Burst end S,Burst start T,Burst end T
09707006_Ch1,81.21,110.02,112.93,133.61,136.51,161.76,164.83,185.34,187.73,205.83,209.97,229.75,232.89,246.32,250.36,263,267.46,283.98,287.66,305.07,309.53,321.23,326.37,338.75,343.1,357.1,362.04,377.77,383.23,398.81,403.68,413.12,417.9,428.34,432.9,444.33,449.79,459.65,469.98,472.76
09721000_Ch2,232.17,236.88,239.74,244.72,248.16,252.37,257.24,261.26,264.42,270.29,273.66,279.53,290.34,294.52,300.89,304.98,,,,,,,,,,,,,,,,,,,,,,,,
09o08002_Ch2,326.64,349.09,354.93,368.4,374.46,391.07,397.36,414.42,420.14,433.08,439.65,449.98,455.2,467.31,473.05,482.96,487.55,498.72,504.25,515.31,523.76,532.42,538.89,547.76,554.65,563.73,,,,,,,,,,,,,,
09o14003_Ch2,11.67,18.34,21.44,25.91,28.33,34.58,36.95,43.31,45.57,52.24,54.71,62.07,66.85,73.47,76.42,83.62,86.24,93.71,98.02,104.59,108.21,112.52,118.78,128.13,146.95,151.52,154.3,162.34,171.17,176.8,179.58,187.89,191.3,199.92,204.18,212.48,222.26,226.15,230.04,242.02
